filename,bpm,key,camelot,energy
SERGIK - The Worst.wav,86.1,G minor,6A,6
SERGIK x Lugh Haurie - Zoned 120BPM DMaj.wav,117.5,G major,9B,7
SERGIK - Dmn8r's (FTP VIP).wav,86.1,E minor,9A,7
SERGIK - FTP.wav,89.1,E minor,9A,6
SERGIK - One Of Those Nights.wav,129.2,D minor,7A,6
SERGIK - Back to The Basics (Instrumental).wav,123.0,G major,9B,6
SERGIK - Cosmos.wav,123.0,D major,10B,6
SERGIK - Needs.wav,129.2,D major,10B,6
SERGIK - Rock Dem Feets.wav,129.2,A major,11B,6
SERGIK x Silent Jay - Late Morning1.wav,129.2,D major,10B,6
SERGIK - Jahdelicah 1.wav,129.2,D major,10B,6
SERGIK - The Sound.wav,129.2,D minor,7A,5
SERGIK x Sean Watson  - A Good Day (Instrumental).wav,92.3,D major,10B,6
SERGIK x LODIN - Bussin.wav,123.0,D major,10B,7
SERGIK - Celestial Groove.wav,123.0,D minor,7A,6
SERGIK - Fall Leafs.wav,136.0,A minor,8A,5
SERGIK - Everyday Gratitude (Freedom SRGFLiP).wav,86.1,D major,10B,8
SERGIK - Golden Hour - House.wav,86.1,A major,11B,6
SERGIK - On Slack.wav,86.1,D major,10B,9
SERGIK - Spring Swing.wav,86.1,A minor,8A,9
SERGIK - Back to The Basics.wav,123.0,G major,9B,6
SERGIK - Mind Rollercoaster.wav,86.1,D major,10B,6
SERGIK - On and On(Badu Remix).wav,123.0,D major,10B,6
SERGIK x Mateo Haze - Who's Boss_.wav,117.5,D major,10B,5
SERGIK - Man On A Journey.wav,136.0,A major,11B,5
SERGIK x Stan The Guitarman - Highway 1.wav,129.2,A major,11B,6
SERGIK - 6 Hours In v2.mp3,129.2,D major,10B,6
SERGIK - Oooh Ah Eee.wav,123.0,A minor,8A,6
SERGIK x Francisco Josue - Let Me.2.wav,86.1,A major,11B,6
SERGIK x OG Coco - Tell Em Heal.wav,92.3,D minor,7A,6
SERGIK - Happiness.wav,86.1,A minor,8A,7
SERGIK x LODIN - Mercy (Club Master).wav,123.0,A major,11B,6
SERGIK x Breauxxx - The Bag 130bpm (Techno SRGFLP)).wav,129.2,D major,10B,6
SERGIK x Sean Hart x Sean Watson - Escapade.wav,92.3,D major,10B,6
SERGIK - Astro Spore.wav,123.0,D major,10B,5
SERGIK - Something Sick.wav,117.5,D major,10B,6
SERGIK - Radiowave Contact.wav,89.1,D major,10B,6
SERGIK x JIMII - Do it Yourself.wav,86.1,D major,10B,6
SERGIK x Crosstick - Katana Ghost.wav,92.3,D major,10B,6
SERGIK - Cosmic Cadillac.wav,80.7,D major,10B,5
SERGIK  - It Is What It Is.wav,86.1,D major,10B,6
SERGIK - Dat Feelin.wav,86.1,D major,10B,6
SERGIK - Crawling Vines.wav,103.4,D major,10B,7
SERGIK - Musik Is The Answr.wav,86.1,D minor,7A,7
SERGIK x OffMedz_ - Around the World.wav,123.0,D major,10B,7
SERGIK - After Party.wav,129.2,A major,11B,5
