name,collaborator,year,source,size_mb,modified,path
WTF,,2017,SERGIK_DRIVE,0.0,2017-03-31,/Volumes/SERGIK/ABLETON PROJECTS/WTF.als
aint no tellin,,2017,SERGIK_DRIVE,5.9,2017-02-02,/Volumes/SERGIK/ABLETON PROJECTS/aint no tellin Project/aint no tellin.als
airplanes,,2017,SERGIK_DRIVE,0.04,2017-01-19,/Volumes/SERGIK/ABLETON PROJECTS/airplanes Project/airplanes.als
Another Day,,2017,SERGIK_DRIVE,0.3,2017-02-10,/Volumes/SERGIK/ABLETON PROJECTS/Another Day Project/Another Day.als
archetypes,,2017,SERGIK_DRIVE,0.11,2017-02-10,/Volumes/SERGIK/ABLETON PROJECTS/archetypes Project/archetypes.als
Arctic Flare,,2017,SERGIK_DRIVE,0.34,2017-03-08,/Volumes/SERGIK/ABLETON PROJECTS/Arctic Flare Project/Arctic Flare.als
arise,,2017,SERGIK_DRIVE,0.16,2017-01-03,/Volumes/SERGIK/ABLETON PROJECTS/arise Project/arise.als
Beach days,,2017,SERGIK_DRIVE,0.79,2017-02-11,/Volumes/SERGIK/ABLETON PROJECTS/Beach days Project/Beach days.als
beat box,,2017,SERGIK_DRIVE,0.34,2017-02-04,/Volumes/SERGIK/ABLETON PROJECTS/beat box Project/beat box.als
Before i lose it,,2017,SERGIK_DRIVE,0.31,2017-03-07,/Volumes/SERGIK/ABLETON PROJECTS/Before i lose it Project/Before i lose it.als
Breathing,,2017,SERGIK_DRIVE,0.54,2017-03-02,/Volumes/SERGIK/ABLETON PROJECTS/Breathing Project/Breathing.als
Centennial,,2017,SERGIK_DRIVE,0.4,2017-01-11,/Volumes/SERGIK/ABLETON PROJECTS/Centennial Project/Centennial.als
Chasing Dream,,2016,SERGIK_DRIVE,0.54,2016-12-29,/Volumes/SERGIK/ABLETON PROJECTS/Chasing Dream Project/Chasing Dream.als
chasing knowledge,,2017,SERGIK_DRIVE,3.59,2017-01-23,/Volumes/SERGIK/ABLETON PROJECTS/chasing knowledge Project/chasing knowledge.als
Coffee Shop,,2016,SERGIK_DRIVE,0.13,2016-12-18,/Volumes/SERGIK/ABLETON PROJECTS/Coffee Shop Project/Coffee Shop.als
corner store,,2016,SERGIK_DRIVE,0.09,2016-12-05,/Volumes/SERGIK/ABLETON PROJECTS/corner store Project/corner store.als
