name,collaborator,size_mb,modified,path
Richard Christ,,0.19,2019-01-14,/Volumes/SERGIK/ABLETON PROJECTS/Esemplastic frequencies Project/Richard Christ.als
W. A. Production - Tech House Angle,,0.76,2019-02-10,/Volumes/SERGIK/Music Production/SERGIK KITZ/DRUMKITZ/HOUSE KITS/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/W. A. Production - Tech House Angle.als
Kit 1 [2019-02-05 173242],,0.66,2019-02-05,/Volumes/SERGIK/Music Production/SERGIK KITZ/DRUMKITZ/HOUSE KITS/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-05 173242].als
Kit 1 [2019-02-05 182208],,0.68,2019-02-05,/Volumes/SERGIK/Music Production/SERGIK KITZ/DRUMKITZ/HOUSE KITS/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-05 182208].als
Kit 1 [2019-02-05 194741],,0.71,2019-02-05,/Volumes/SERGIK/Music Production/SERGIK KITZ/DRUMKITZ/HOUSE KITS/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-05 194741].als
Kit 1 [2019-02-09 174304],,0.75,2019-02-05,/Volumes/SERGIK/Music Production/SERGIK KITZ/DRUMKITZ/HOUSE KITS/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-09 174304].als
Kit 1 [2019-02-09 174828],,0.76,2019-02-09,/Volumes/SERGIK/Music Production/SERGIK KITZ/DRUMKITZ/HOUSE KITS/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-09 174828].als
Kit 1 [2019-02-10 011332],,0.76,2019-02-09,/Volumes/SERGIK/Music Production/SERGIK KITZ/DRUMKITZ/HOUSE KITS/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-10 011332].als
Kit 1 [2019-02-10 152831],,0.76,2019-02-10,/Volumes/SERGIK/Music Production/SERGIK KITZ/DRUMKITZ/HOUSE KITS/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-10 152831].als
Kit 1 [2019-02-10 171821],,0.76,2019-02-10,/Volumes/SERGIK/Music Production/SERGIK KITZ/DRUMKITZ/HOUSE KITS/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-10 171821].als
Kit 1 [2019-02-10 171830],,0.76,2019-02-10,/Volumes/SERGIK/Music Production/SERGIK KITZ/DRUMKITZ/HOUSE KITS/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-10 171830].als
Kit 1 [2019-02-10 172255],,0.76,2019-02-10,/Volumes/SERGIK/Music Production/SERGIK KITZ/DRUMKITZ/HOUSE KITS/Tech House Mega Pack 3/WAProd_Tech_House_Angle_Abl/WAV MIDI Presets Ableton/Ableton Template/Backup/Kit 1 [2019-02-10 172255].als
UNDRGRND SOUNDS - DG - Kits,,0.22,2019-06-13,/Volumes/SERGIK/Music Production/SERGIK KITZ/DRUMKITZ/HOUSE KITS/UNDRGRND The Bundle/UNDRGRND SOUNDS - Deep Grooves - Wav/US_DG_One_Shots/US_DG_Drum_Hits/US_DG_Kits/Ableton/UNDRGRND SOUNDS - DG - Kits Project/UNDRGRND SOUNDS - DG - Kits.als
UNDRGRND SOUNDS - DG - Kits [2019-06-13 095422],,0.21,2019-06-13,/Volumes/SERGIK/Music Production/SERGIK KITZ/DRUMKITZ/HOUSE KITS/UNDRGRND The Bundle/UNDRGRND SOUNDS - Deep Grooves - Wav/US_DG_One_Shots/US_DG_Drum_Hits/US_DG_Kits/Ableton/UNDRGRND SOUNDS - DG - Kits Project/Backup/UNDRGRND SOUNDS - DG - Kits [2019-06-13 095422].als
UNDRGRND SOUNDS - DG - Drum Formats,,0.36,2019-06-13,/Volumes/SERGIK/Music Production/SERGIK KITZ/DRUMKITZ/HOUSE KITS/UNDRGRND The Bundle/UNDRGRND SOUNDS - Deep Grooves - Wav/US_DG_One_Shots/US_DG_Drum_Hits/US_DG_Drum_Formats/Ableton/UNDRGRND SOUNDS - DG - Drum Formats Project/UNDRGRND SOUNDS - DG - Drum Formats.als
UNDRGRND SOUNDS - DG - Drum Formats [2019-06-13 094646],,0.35,2019-06-13,/Volumes/SERGIK/Music Production/SERGIK KITZ/DRUMKITZ/HOUSE KITS/UNDRGRND The Bundle/UNDRGRND SOUNDS - Deep Grooves - Wav/US_DG_One_Shots/US_DG_Drum_Hits/US_DG_Drum_Formats/Ableton/UNDRGRND SOUNDS - DG - Drum Formats Project/Backup/UNDRGRND SOUNDS - DG - Drum Formats [2019-06-13 094646].als
UNDRGRND SOUNDS - DG - Melodic Formats,,0.03,2019-06-13,/Volumes/SERGIK/Music Production/SERGIK KITZ/DRUMKITZ/HOUSE KITS/UNDRGRND The Bundle/UNDRGRND SOUNDS - Deep Grooves - Wav/US_DG_One_Shots/US_DG_Melodic/US_DG_Melodic_Formats/Ableton/UNDRGRND SOUNDS - DG - Melodic Formats Project/UNDRGRND SOUNDS - DG - Melodic Formats.als
UNDRGRND SOUNDS - DG - Melodic Formats [2019-06-13 100239],,0.03,2019-06-13,/Volumes/SERGIK/Music Production/SERGIK KITZ/DRUMKITZ/HOUSE KITS/UNDRGRND The Bundle/UNDRGRND SOUNDS - Deep Grooves - Wav/US_DG_One_Shots/US_DG_Melodic/US_DG_Melodic_Formats/Ableton/UNDRGRND SOUNDS - DG - Melodic Formats Project/Backup/UNDRGRND SOUNDS - DG - Melodic Formats [2019-06-13 100239].als
