filename,format,category,size_mb,modified,path
ANDINO x SERGIK -  ELROW .wav,WAV,SERGIK WAVs,66.13,2023-03-22,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/ANDINO x SERGIK -  ELROW .wav
ANDINO x SERGIK -  ELROW 1.wav,WAV,SERGIK WAVs,66.13,2023-03-23,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/ANDINO x SERGIK -  ELROW 1.wav
baked turkey.wav,WAV,SERGIK WAVs,55.69,2019-02-01,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/baked turkey.wav
Barrio Bros - Bloops.wav,WAV,SERGIK WAVs,41.33,2023-03-24,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Barrio Bros - Bloops.wav
C MAJOR W BATTLO.wav,WAV,SERGIK WAVs,42.44,2022-04-04,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/C MAJOR W BATTLO.wav
Ceemoar x Sergik - No Body.wav,WAV,SERGIK WAVs,36.76,2023-04-04,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Ceemoar x Sergik - No Body.wav
Chasing the sun to Tokyo.wav,WAV,SERGIK WAVs,55.9,2019-03-12,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Chasing the sun to Tokyo.wav
DINO x SERGIK - MEXICAN CHEETOS.wav,WAV,SERGIK WAVs,43.58,2023-03-22,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/DINO x SERGIK - MEXICAN CHEETOS.wav
DINO x SERGIK - MINIMAL .wav,WAV,SERGIK WAVs,41.64,2023-03-22,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/DINO x SERGIK - MINIMAL .wav
Fly Aliens - SERGIC x NAM x Mateo Haze.wav,WAV,SERGIK WAVs,47.06,2018-11-15,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Fly Aliens - SERGIC x NAM x Mateo Haze.wav
Lucidic.wav,WAV,SERGIK WAVs,41.46,2018-10-26,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Lucidic.wav
Lucy Lights.wav,WAV,SERGIK WAVs,58.6,2019-02-23,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Lucy Lights.wav
Realm Transfer.wav,WAV,SERGIK WAVs,35.9,2021-07-26,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Realm Transfer.wav
SERGIK - 6 Hours In.wav,WAV,SERGIK WAVs,58.62,2022-03-04,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - 6 Hours In.wav
Sergik - 90s Baby.wav,WAV,SERGIK WAVs,37.73,2021-11-03,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Sergik - 90s Baby.wav
SERGIK - Abduction.wav,WAV,SERGIK WAVs,58.14,2022-02-07,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Abduction.wav
SERGIK - Aha.wav,WAV,SERGIK WAVs,44.64,2023-03-30,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Aha.wav
SERGIK - All My Ladies ft. Nessa.wav,WAV,SERGIK WAVs,55.76,2022-03-04,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - All My Ladies ft. Nessa.wav
SERGIK - All My Ladies.wav,WAV,SERGIK WAVs,55.76,2022-01-30,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - All My Ladies.wav
SERGIK - Astro Spore.wav,WAV,SERGIK WAVs,44.35,2021-12-04,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Astro Spore.wav
SERGIK - Atlantis.wav,WAV,SERGIK WAVs,20.54,2021-09-21,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Atlantis.wav
SERGIK - Back Around.wav,WAV,SERGIK WAVs,64.34,2022-05-21,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Back Around.wav
SERGIK - Bad Decisions.wav,WAV,SERGIK WAVs,54.26,2022-03-04,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Bad Decisions.wav
SERGIK - Bass Bunker.wav,WAV,SERGIK WAVs,55.97,2022-04-13,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Bass Bunker.wav
SERGIK - Be FreeNDaMind.wav,WAV,SERGIK WAVs,36.88,2022-12-22,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Be FreeNDaMind.wav
