filename,artist,bpm,key,camelot,energy,genres,format,path
Lando - Vacation.mp3,Unknown Artist,123.0,A minor,8A,6,,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Lando - Vacation.mp3
These times.wav,Unknown Artist,92.3,B minor,10A,4,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/These times.wav
Bad Bitch Affirmations Smart Bitch Edition.m4a,Unknown Artist,,,,,,m4a,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Bad Bitch Affirmations Smart Bitch Edition.m4a
Sean Hart - SHAKE THAT ASS FUNKERSIZE.wav,Unknown Artist,86.1,F# minor,11A,9,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sean Hart - SHAKE THAT ASS FUNKERSIZE.wav
chillout vibin.mp3,Unknown Artist,123.0,A major,11B,5,ambient,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/chillout vibin.mp3
Soundolosophy.wav,Unknown Artist,117.5,A major,11B,5,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Soundolosophy.wav
hip hop jordan 34-2.mp3,Unknown Artist,112.3,A major,11B,6,hiphop,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/hip hop jordan 34-2.mp3
ANDINO x SERGIK -  ELROW 1.wav,Unknown Artist,129.2,D major,10B,7,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/ANDINO x SERGIK -  ELROW 1.wav
untitled.fyjump3.mp3,Unknown Artist,147.7,G minor,6A,4,,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/untitled.fyjump3.mp3
Chill hip hop 2.mp3,Unknown Artist,92.3,C major,8B,6,"hiphop,ambient",mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Chill hip hop 2.mp3
Chill hip hop 3.mp3,Unknown Artist,129.2,D major,10B,6,"hiphop,ambient",mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Chill hip hop 3.mp3
AZ.mp3,Unknown Artist,89.1,D major,10B,6,,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/AZ.mp3
the LNGwayyyyyyyyy v1.wav,Unknown Artist,92.3,E major,12B,6,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/the LNGwayyyyyyyyy v1.wav
TombStoned (0).wav,Unknown Artist,92.3,A minor,8A,5,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/TombStoned (0).wav
Stranger wings 140.wav,Unknown Artist,143.6,A major,11B,5,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Stranger wings 140.wav
Janis & The Planets x SERGIK - Searching.wav,Unknown Artist,92.3,F major,7B,5,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Janis & The Planets x SERGIK - Searching.wav
