filename,artist,bpm,key,camelot,energy,genres,format,path
SERGIK - The Worst.wav,SERGIK,86.1,G minor,6A,6,,wav,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK - The Worst.wav
SERGIK x Lugh Haurie - Zoned 120BPM DMaj.wav,SERGIK,117.5,G major,9B,7,,wav,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK x Lugh Haurie - Zoned 120BPM DMaj.wav
SERGIK - Dmn8r's (FTP VIP).wav,SERGIK,86.1,E minor,9A,7,,wav,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK - Dmn8r's (FTP VIP).wav
SERGIK - FTP.wav,SERGIK,89.1,E minor,9A,6,,wav,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK - FTP.wav
SERGIK - One Of Those Nights.wav,SERGIK,129.2,D minor,7A,6,,wav,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK - One Of Those Nights.wav
SERGIK - Back to The Basics (Instrumental).wav,Unknown Artist,123.0,G major,9B,6,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Back to The Basics (Instrumental).wav
SERGIK - Cosmos.wav,Unknown Artist,123.0,D major,10B,6,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Cosmos.wav
SERGIK - Needs.wav,Unknown Artist,129.2,D major,10B,6,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Needs.wav
SERGIK - Rock Dem Feets.wav,Unknown Artist,129.2,A major,11B,6,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Rock Dem Feets.wav
SERGIK x Silent Jay - Late Morning1.wav,Unknown Artist,129.2,D major,10B,6,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Silent Jay - Late Morning1.wav
SERGIK - Jahdelicah 1.wav,Unknown Artist,129.2,D major,10B,6,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Jahdelicah 1.wav
SERGIK - The Sound.wav,Unknown Artist,129.2,D minor,7A,5,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - The Sound.wav
SERGIK x Sean Watson  - A Good Day (Instrumental).wav,Unknown Artist,92.3,D major,10B,6,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Sean Watson  - A Good Day (Instrumental).wav
SERGIK x LODIN - Bussin.wav,Unknown Artist,123.0,D major,10B,7,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x LODIN - Bussin.wav
SERGIK - Celestial Groove.wav,Unknown Artist,123.0,D minor,7A,6,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Celestial Groove.wav
SERGIK - Fall Leafs.wav,Unknown Artist,136.0,A minor,8A,5,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Fall Leafs.wav
SERGIK - Everyday Gratitude (Freedom SRGFLiP).wav,Unknown Artist,86.1,D major,10B,8,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Everyday Gratitude (Freedom SRGFLiP).wav
SERGIK - Golden Hour - House.wav,Unknown Artist,86.1,A major,11B,6,house,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Golden Hour - House.wav
SERGIK - On Slack.wav,Unknown Artist,86.1,D major,10B,9,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - On Slack.wav
SERGIK - Spring Swing.wav,Unknown Artist,86.1,A minor,8A,9,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Spring Swing.wav
SERGIK - Back to The Basics.wav,Unknown Artist,123.0,G major,9B,6,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Back to The Basics.wav
SERGIK - Mind Rollercoaster.wav,Unknown Artist,86.1,D major,10B,6,,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Mind Rollercoaster.wav
