filename,artist_folder,path,size_mb,format,genres,bpm,is_sergik
SERGIK - The Worst.wav,SERGIK,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK - The Worst.wav,69.21,wav,,,True
SERGIK x Lugh Haurie - Zoned 120BPM DMaj.wav,SERGIK,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK x Lugh Haurie - Zoned 120BPM DMaj.wav,58.54,wav,,120,True
SERGIK - Dmn8r's (FTP VIP).wav,SERGIK,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK - Dmn8r's (FTP VIP).wav,63.0,wav,,,True
SERGIK - FTP.wav,SERGIK,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK - FTP.wav,87.48,wav,,,True
SERGIK - One Of Those Nights.wav,SERGIK,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK - One Of Those Nights.wav,54.36,wav,,,True
Lando - Vacation.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Lando - Vacation.mp3,5.71,mp3,,,False
These times.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/These times.wav,14.25,wav,,,False
Bad Bitch Affirmations Smart Bitch Edition.m4a,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Bad Bitch Affirmations Smart Bitch Edition.m4a,14.01,m4a,,,False
SERGIK - Back to The Basics (Instrumental).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Back to The Basics (Instrumental).wav,72.28,wav,,,True
SERGIK - Cosmos.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Cosmos.wav,58.64,wav,,,True
Sean Hart - SHAKE THAT ASS FUNKERSIZE.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sean Hart - SHAKE THAT ASS FUNKERSIZE.wav,140.92,wav,,,False
SERGIK - Needs.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Needs.wav,69.69,wav,,,True
chillout vibin.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/chillout vibin.mp3,7.82,mp3,ambient,,False
Soundolosophy.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Soundolosophy.wav,24.7,wav,,,False
SERGIK - Rock Dem Feets.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Rock Dem Feets.wav,62.48,wav,,,True
hip hop jordan 34-2.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/hip hop jordan 34-2.mp3,8.92,mp3,hiphop,,False
SERGIK x Silent Jay - Late Morning1.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Silent Jay - Late Morning1.wav,41.34,wav,,,True
SERGIK - Jahdelicah 1.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Jahdelicah 1.wav,70.18,wav,,,True
SERGIK - The Sound.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - The Sound.wav,69.21,wav,,,True
SERGIK x Sean Watson  - A Good Day (Instrumental).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Sean Watson  - A Good Day (Instrumental).wav,75.98,wav,,,True
ANDINO x SERGIK -  ELROW 1.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/ANDINO x SERGIK -  ELROW 1.wav,66.13,wav,,,False
untitled.fyjump3.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/untitled.fyjump3.mp3,0.51,mp3,,,False
SERGIK x LODIN - Bussin.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x LODIN - Bussin.wav,41.66,wav,,,True
SERGIK - Celestial Groove.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Celestial Groove.wav,64.57,wav,,,True
Chill hip hop 2.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Chill hip hop 2.mp3,7.42,mp3,"hiphop,ambient",,False
Chill hip hop 3.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Chill hip hop 3.mp3,6.39,mp3,"hiphop,ambient",,False
SERGIK - Fall Leafs.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Fall Leafs.wav,26.32,wav,,,True
AZ.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/AZ.mp3,4.69,mp3,,,False
SERGIK - Everyday Gratitude (Freedom SRGFLiP).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Everyday Gratitude (Freedom SRGFLiP).wav,64.01,wav,,,True
the LNGwayyyyyyyyy v1.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/the LNGwayyyyyyyyy v1.wav,29.99,wav,,,False
SERGIK - Golden Hour - House.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Golden Hour - House.wav,55.68,wav,house,,True
SERGIK - On Slack.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - On Slack.wav,30.28,wav,,,True
SERGIK - Spring Swing.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Spring Swing.wav,64.75,wav,,,True
TombStoned (0).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/TombStoned (0).wav,64.6,wav,,,False
SERGIK - Back to The Basics.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Back to The Basics.wav,72.28,wav,,,True
SERGIK - Mind Rollercoaster.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Mind Rollercoaster.wav,62.98,wav,,,True
Stranger wings 140.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Stranger wings 140.wav,9.23,wav,,,False
Janis & The Planets x SERGIK - Searching.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Janis & The Planets x SERGIK - Searching.wav,47.94,wav,,,False
SERGIK - On and On(Badu Remix).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - On and On(Badu Remix).wav,63.49,wav,,,True
SERGIK x Mateo Haze - Who's Boss_.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Mateo Haze - Who's Boss_.wav,47.51,wav,,,True
SERGIK - Man On A Journey.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Man On A Journey.wav,65.65,wav,,,True
Another Day.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Another Day.wav,23.83,wav,,,False
SERGIK x Stan The Guitarman - Highway 1.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Stan The Guitarman - Highway 1.wav,63.45,wav,,,True
SERGIK - 6 Hours In v2.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - 6 Hours In v2.mp3,8.72,mp3,,,True
SERGIK - Oooh Ah Eee.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Oooh Ah Eee.wav,54.7,wav,,,True
SERGIK x Francisco Josue - Let Me.2.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Francisco Josue - Let Me.2.wav,41.68,wav,,,True
SERGIK x OG Coco - Tell Em Heal.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x OG Coco - Tell Em Heal.wav,53.49,wav,,,True
You Said That (0).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/You Said That (0).wav,20.42,wav,,,False
long ago (1).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/long ago (1).wav,25.75,wav,,,False
SERGIK - Happiness.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Happiness.wav,66.44,wav,,,True
Dream Edge_2.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Dream Edge_2.mp3,0.11,mp3,,,False
Trip Hop 3.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Trip Hop 3.mp3,6.41,mp3,,,False
SERGIK x LODIN - Mercy (Club Master).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x LODIN - Mercy (Club Master).wav,74.84,wav,,,True
SERGIK x Breauxxx - The Bag 130bpm (Techno SRGFLP)).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Breauxxx - The Bag 130bpm (Techno SRGFLP)).wav,68.02,wav,techno,130,True
BeJanis x Sergik's Secret - Soul Infinite.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/BeJanis x Sergik's Secret - Soul Infinite.wav,76.5,wav,soul,,False
SERGIK x Sean Hart x Sean Watson - Escapade.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Sean Hart x Sean Watson - Escapade.wav,88.09,wav,,,True
SERGIK - Astro Spore.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Astro Spore.wav,44.35,wav,,,True
Old Fellas 4 (Sin Drum).mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Old Fellas 4 (Sin Drum).mp3,8.53,mp3,,,False
SERGIK - Something Sick.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Something Sick.wav,74.69,wav,,,True
SERGIK - Radiowave Contact.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Radiowave Contact.wav,67.51,wav,,,True
SERGIK x JIMII - Do it Yourself.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x JIMII - Do it Yourself.wav,61.03,wav,,,True
SERGIK x Crosstick - Katana Ghost.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Crosstick - Katana Ghost.wav,65.44,wav,,,True
8.12 - haus.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/8.12 - haus.mp3,4.84,mp3,,,False
SERGIK - Cosmic Cadillac.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Cosmic Cadillac.wav,65.32,wav,,,True
OG Coconut - sturdy_uh.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/OG Coconut - sturdy_uh.wav,28.84,wav,,,False
Cold Sweat.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Cold Sweat.wav,45.82,wav,,,False
SERIK x Stan The Guitarman - Well Known Treat.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERIK x Stan The Guitarman - Well Known Treat.wav,71.98,wav,,,False
SERGIK  - It Is What It Is.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK  - It Is What It Is.wav,64.32,wav,,,True
SERGIK - Dat Feelin.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Dat Feelin.wav,70.18,wav,,,True
