project_path,project_name,parent_folder,created_time,modified_time,size_bytes,contains_sergik
/Users/machd/Music/Ableton/User Library/Templates/SERGIK Template V2.als,SERGIK Template V2,Templates,2025-02-13T18:30:51.594495,2025-02-13T18:30:51.721375,189841,True
/Users/machd/Music/Ableton/User Library/Templates/SERG 12.3-1.als,SERG 12.3-1,Templates,2025-12-04T19:04:33.890086,2025-12-04T19:04:34.820292,443715,True
/Users/machd/Music/Ableton/User Library/Templates/SERG 12.3.als,SERG 12.3,Templates,2025-11-17T22:08:05.634786,2025-11-17T22:08:05.827976,443704,True
/Users/machd/Music/Ableton/User Library/Templates/Untitled.als,Untitled,Templates,2024-07-01T14:41:13.056493,2024-07-01T14:41:14.801625,4301078,False
/Users/machd/Music/Ableton/User Library/Templates/SERGIK TEMPLATE.als,SERGIK TEMPLATE,Templates,2024-05-21T03:39:36.828786,2024-05-21T03:39:36.906566,75940,True
/Users/machd/Music/Ableton/User Library/Templates/Untitled-4.als,Untitled-4,Templates,2025-11-18T08:52:10.645440,2025-11-18T08:52:10.872553,466935,False
/Users/machd/Music/Ableton/User Library/Templates/Audio & Video Default  Project.als,Audio & Video Default  Project,Templates,2025-07-01T00:18:47.650241,2025-07-01T00:18:47.816641,246426,False
/Users/machd/Music/Ableton/User Library/Templates/Untitled-3.als,Untitled-3,Templates,2025-06-15T03:12:30.948329,2025-06-15T03:12:31.095085,214327,False
/Users/machd/Music/Ableton/User Library/Templates/Untitled-2.als,Untitled-2,Templates,2025-02-10T10:17:48.108437,2025-02-10T10:17:49.949037,5766747,False
/Users/machd/Music/Ableton/User Library/Templates/Untitled-1.als,Untitled-1,Templates,2024-12-13T01:19:27.129059,2024-12-13T01:19:27.552285,493042,False
/Users/machd/Desktop/Audio & Video Default  Project.als,Audio & Video Default  Project,Desktop,2025-11-02T06:21:45.236474,2025-11-02T06:21:45.236544,246426,False
/Users/machd/Desktop/untitled folder/DefaultLiveSet.als,DefaultLiveSet,untitled folder,2025-06-14T02:17:52.766669,2025-06-14T02:17:52.767289,3459684,False
/Users/machd/Desktop/Random Music Stuff/SERGIK x OG Coconut - Do It Project/SERGIK x OG Coconut - Do It.als,SERGIK x OG Coconut - Do It,SERGIK x OG Coconut - Do It Project,2024-06-11T04:28:07.221590,2024-06-11T04:28:07.894450,1602141,True
