filename,artist,bpm,key,camelot,energy,phrases,duration_sec,sample_rate,bit_depth,channels,file_size_mb,format,path
SERGIK - The Worst.wav,Music,86.1,G minor,6A,6,Drop,274.29,44100,24,2,69.21,wav,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK - The Worst.wav
SERGIK x Lugh Haurie - Zoned 120BPM DMaj.wav,Music,117.5,G major,9B,7,Intro -> Chorus -> Drop,232.0,44100,24,2,58.54,wav,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK x Lugh Haurie - Zoned 120BPM DMaj.wav
SERGIK - Dmn8r's (FTP VIP).wav,Music,86.1,E minor,9A,7,Drop -> Outro,249.68,44100,24,2,63.0,wav,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK - Dmn8r's (FTP VIP).wav
SERGIK - FTP.wav,Music,89.1,E minor,9A,6,Chorus -> Drop,346.67,44100,24,2,87.48,wav,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK - FTP.wav
SERGIK - One Of Those Nights.wav,Music,129.2,D minor,7A,6,Drop,215.43,44100,24,2,54.36,wav,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK - One Of Those Nights.wav
Lando - Vacation.mp3,Music,123.0,A minor,8A,6,Intro -> Drop,149.66,44100,0,2,5.71,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Lando - Vacation.mp3
These times.wav,Music,92.3,B minor,10A,4,Unknown,42.35,44100,0,2,14.25,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/These times.wav
Bad Bitch Affirmations Smart Bitch Edition.m4a,Music,,,,,,908.57,44100,0,2,14.01,m4a,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Bad Bitch Affirmations Smart Bitch Edition.m4a
SERGIK - Back to The Basics (Instrumental).wav,Music,123.0,G major,9B,6,Chorus -> Drop,286.45,44100,24,2,72.28,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Back to The Basics (Instrumental).wav
SERGIK - Cosmos.wav,Music,123.0,D major,10B,6,Chorus -> Drop,232.38,44100,24,2,58.64,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Cosmos.wav
