filename,artist,bpm,key,camelot,energy,phrases,duration_sec,sample_rate,bit_depth,channels,file_size_mb,format,path,emotional_category,valence,arousal,emotions,psychological_effect,focus,relaxation,motivation,timbre,texture,spatial,dynamics,primary_intent,use_cases
SERGIK - The Worst.wav,Music,86.1,G minor,6A,6,Drop,274.29,44100,24,2,69.21,wav,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK - The Worst.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SERGIK x Lugh Haurie - Zoned 120BPM DMaj.wav,Music,117.5,G major,9B,7,Intro -> Chorus -> Drop,232.0,44100,24,2,58.54,wav,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK x Lugh Haurie - Zoned 120BPM DMaj.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK - Dmn8r's (FTP VIP).wav,Music,86.1,E minor,9A,7,Drop -> Outro,249.68,44100,24,2,63.0,wav,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK - Dmn8r's (FTP VIP).wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
SERGIK - FTP.wav,Music,89.1,E minor,9A,6,Chorus -> Drop,346.67,44100,24,2,87.48,wav,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK - FTP.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SERGIK - One Of Those Nights.wav,Music,129.2,D minor,7A,6,Drop,215.43,44100,24,2,54.36,wav,/Users/machd/Music/Music/Media.localized/Music/SERGIK/FTP/SERGIK - One Of Those Nights.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
Lando - Vacation.mp3,Music,123.0,A minor,8A,6,Intro -> Drop,149.66,44100,0,2,5.71,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Lando - Vacation.mp3,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
These times.wav,Music,92.3,B minor,10A,4,Unknown,42.35,44100,0,2,14.25,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/These times.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",study,0.85,0.6,0.4,neutral,balanced,focused,dynamic,background,"cafe,restaurant,lounge,retail"
Bad Bitch Affirmations Smart Bitch Edition.m4a,Music,,,,,,908.57,44100,0,2,14.01,m4a,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Bad Bitch Affirmations Smart Bitch Edition.m4a,,,,,,,,,,,,,,
SERGIK - Back to The Basics (Instrumental).wav,Music,123.0,G major,9B,6,Chorus -> Drop,286.45,44100,24,2,72.28,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Back to The Basics (Instrumental).wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK - Cosmos.wav,Music,123.0,D major,10B,6,Chorus -> Drop,232.38,44100,24,2,58.64,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Cosmos.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
Sean Hart - SHAKE THAT ASS FUNKERSIZE.wav,Music,86.1,F# minor,11A,9,Drop,384.79,48000,0,2,140.92,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sean Hart - SHAKE THAT ASS FUNKERSIZE.wav,intense,0.6,0.9,"driving,aggressive,powerful",workout,0.5,0.1,0.95,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
SERGIK - Needs.wav,Music,129.2,D major,10B,6,Chorus -> Drop,276.19,44100,24,2,69.69,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Needs.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
chillout vibin.mp3,Music,123.0,A major,11B,5,Chorus -> Drop,204.98,44100,0,2,7.82,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/chillout vibin.mp3,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
Soundolosophy.wav,Music,117.5,A major,11B,5,Intro -> Drop,146.82,44100,0,2,24.7,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Soundolosophy.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK - Rock Dem Feets.wav,Music,129.2,A major,11B,6,Drop,247.62,44100,24,2,62.48,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Rock Dem Feets.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
hip hop jordan 34-2.mp3,Music,112.3,A major,11B,6,Drop,233.93,44100,0,2,8.92,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/hip hop jordan 34-2.mp3,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK x Silent Jay - Late Morning1.wav,Music,129.2,D major,10B,6,Drop,245.71,44100,0,2,41.34,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Silent Jay - Late Morning1.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK - Jahdelicah 1.wav,Music,129.2,D major,10B,6,Chorus -> Drop,278.1,44100,24,2,70.18,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Jahdelicah 1.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK - The Sound.wav,Music,129.2,D minor,7A,5,Chorus -> Drop,274.29,44100,24,2,69.21,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - The Sound.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK x Sean Watson  - A Good Day (Instrumental).wav,Music,92.3,D major,10B,6,Drop,301.09,44100,24,2,75.98,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Sean Watson  - A Good Day (Instrumental).wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
ANDINO x SERGIK -  ELROW 1.wav,Music,129.2,D major,10B,7,Drop,393.07,44100,0,2,66.13,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/ANDINO x SERGIK -  ELROW 1.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
untitled.fyjump3.mp3,Music,147.7,G minor,6A,4,Unknown,13.35,44100,0,2,0.51,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/untitled.fyjump3.mp3,chill,0.7,0.4,"relaxed,laid-back,comfortable",study,0.85,0.6,0.4,neutral,balanced,focused,dynamic,background,"cafe,restaurant,lounge,retail"
SERGIK x LODIN - Bussin.wav,Music,123.0,D major,10B,7,Chorus -> Drop,247.62,44100,0,2,41.66,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x LODIN - Bussin.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",productivity,0.7,0.5,0.75,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
SERGIK - Celestial Groove.wav,Music,123.0,D minor,7A,6,Chorus -> Drop,255.87,44100,24,2,64.57,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Celestial Groove.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
Chill hip hop 2.mp3,Music,92.3,C major,8B,6,Chorus -> Drop,194.51,44100,0,2,7.42,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Chill hip hop 2.mp3,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
Chill hip hop 3.mp3,Music,129.2,D major,10B,6,Intro -> Chorus -> Drop,167.42,44100,0,2,6.39,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Chill hip hop 3.mp3,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK - Fall Leafs.wav,Music,136.0,A minor,8A,5,Intro -> Verse -> Drop,156.44,44100,0,2,26.32,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Fall Leafs.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
AZ.mp3,Music,89.1,D major,10B,6,Chorus -> Drop -> Chorus,123.06,44100,0,2,4.69,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/AZ.mp3,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SERGIK - Everyday Gratitude (Freedom SRGFLiP).wav,Music,86.1,D major,10B,8,Intro -> Drop,253.66,44100,24,2,64.01,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Everyday Gratitude (Freedom SRGFLiP).wav,intense,0.6,0.9,"driving,aggressive,powerful",workout,0.5,0.1,0.95,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
the LNGwayyyyyyyyy v1.wav,Music,92.3,E major,12B,6,Drop,178.29,44100,0,2,29.99,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/the LNGwayyyyyyyyy v1.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SERGIK - Golden Hour - House.wav,Music,86.1,A major,11B,6,Chorus -> Drop,220.65,44100,24,2,55.68,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Golden Hour - House.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
SERGIK - On Slack.wav,Music,86.1,D major,10B,9,Drop,180.0,44100,0,2,30.28,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - On Slack.wav,intense,0.6,0.9,"driving,aggressive,powerful",workout,0.5,0.1,0.95,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
SERGIK - Spring Swing.wav,Music,86.1,A minor,8A,9,Drop -> Chorus,256.59,44100,24,2,64.75,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Spring Swing.wav,intense,0.6,0.9,"driving,aggressive,powerful",workout,0.5,0.1,0.95,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
TombStoned (0).wav,Music,92.3,A minor,8A,5,Chorus -> Drop,192.0,44100,0,2,64.6,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/TombStoned (0).wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,background,"cafe,restaurant,lounge,retail"
SERGIK - Back to The Basics.wav,Music,123.0,G major,9B,6,Drop -> Chorus -> Drop,286.45,44100,24,2,72.28,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Back to The Basics.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK - Mind Rollercoaster.wav,Music,86.1,D major,10B,6,Drop,249.6,44100,24,2,62.98,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Mind Rollercoaster.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,chill,"home,study,reading,social"
Stranger wings 140.wav,Music,143.6,A major,11B,5,Drop -> Chorus,54.86,44100,0,2,9.23,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Stranger wings 140.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,background,"cafe,restaurant,lounge,retail"
Janis & The Planets x SERGIK - Searching.wav,Music,92.3,F major,7B,5,Intro -> Verse -> Drop,174.55,48000,24,2,47.94,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Janis & The Planets x SERGIK - Searching.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,background,"cafe,restaurant,lounge,retail"
SERGIK - On and On(Badu Remix).wav,Music,123.0,D major,10B,6,Intro -> Drop -> Chorus,251.59,44100,24,2,63.49,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - On and On(Badu Remix).wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK x Mateo Haze - Who's Boss_.wav,Music,117.5,D major,10B,5,Intro -> Drop,188.28,44100,24,2,47.51,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Mateo Haze - Who's Boss_.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK - Man On A Journey.wav,Music,136.0,A major,11B,5,Chorus -> Drop,260.15,44100,24,2,65.65,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Man On A Journey.wav,chill,0.7,0.4,"relaxed,laid-back,comfortable",background,0.5,0.7,0.3,neutral,balanced,focused,dynamic,dance_floor,"club,festival,party,peak time"
Another Day.wav,Music,123.0,A minor,8A,6,Intro -> Verse -> Drop,141.64,44100,0,2,23.83,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Another Day.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
SERGIK x Stan The Guitarman - Highway 1.wav,Music,129.2,A major,11B,6,Drop,251.43,44100,24,2,63.45,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Stan The Guitarman - Highway 1.wav,groovy,0.8,0.6,"funky,rhythmic,danceable",social,0.4,0.7,0.5,neutral,balanced,focused,dynamic,creative,"studio,production,writing,design"
